z,n,symbol,radius,abundance,half life (s),binding energy / A (keV),atomic mass (u),ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
61,92,Pm, , ,315,8221.1536,152924156.252,16-Aug-2020,N. NICA,2022-04-26
61,93,Pm, , ,160.8,8204.717,153926712.791,1-May-2008,C. W. Reich,2022-04-26
61,94,Pm, , ,41.5,8195.2977,154928136.951,21-Oct-2019,N. NICA,2022-04-26
61,95,Pm, , ,26.7,8176.7263,155931114.059,1-Mar-2012,C. W. REICH,2022-04-26
61,96,Pm, , ,10.56,8164.1458,156933121.298,04-Jun-2021,Balraj Singh,2022-04-26
61,97,Pm, , ,4.8,8143.3622,157936546.948,1-Feb-2017,N. NICA,2022-04-26
61,98,Pm, , ,1.5,8126.8601,158939286.409,31-Dec-2010,C. W. Reich,2022-04-26
61,99,Pm, , ,0.725,8103.6398,159943215.272,1-May-2021,N. NICA,2022-04-26
61,100,Pm, , ,1.05,8085.9977,160946229.837,20-Feb-2017,FILIP G. KONDEV,2022-04-26
61,101,Pm, , ,0.63,8061,161950574,20-Feb-2017,FILIP G. KONDEV,2022-04-26
61,102,Pm, , ,0.43,8042,162953881,20-Feb-2017,FILIP G. KONDEV,2022-04-26
61,103,Pm, , , ,8014,163958819,31-JAN-2021,BALRAJ SINGH,2022-04-26
61,104,Pm, , , ,7992,164962780,31-JAN-2021,BALRAJ SINGH,2022-04-26
62,67,Sm, , ,0.55,8023,128954557,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2022-04-26
62,68,Sm, , , ,8065,129948792,11-May-2001,BALRAJ SINGH,2022-04-26
62,69,Sm, , ,1.2,8085,130946022,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2022-04-26
62,70,Sm, , ,4,8122,131940805,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2022-04-26
62,71,Sm, , ,2.89,8137,132938560,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2022-04-26
62,72,Sm, , ,9.5,8167,133934110,31-Jul-2004,A.A. Sonzogni,2022-04-26
62,73,Sm, , ,10.3,8177.627,134932520,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2022-04-26
62,74,Sm, , ,47,8205.9165,135928275.553,1-Apr-2018,E.A. MCCUTCHAN,2022-04-26
62,75,Sm, , ,45,8213.5527,136927007.959,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-04-26
62,76,Sm,4.9599, ,186,8237.9286,137923243.988,30-Sep-2017,JUN CHEN,2022-04-26
62,77,Sm,4.9556, ,154.2,8243.0786,138922296.631,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2022-04-26
62,78,Sm,4.9565, ,889.2,8263.8211,139918994.714,20-Nov-2018,N. NICA,2022-04-26
62,79,Sm,4.9517, ,612,8265.846,140918481.545,1-Jan-2012,N. NICA,2022-04-26
62,80,Sm,4.9518, ,4349.4,8285.9407,141915209.415,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
62,81,Sm,4.9479, ,525,8288.1825,142914634.848,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
62,82,Sm,4.9524,3.08, ,8303.68,143912006.285,1-Dec-2000,A.A. Sonzogni,2022-04-26
62,83,Sm,4.9651, ,29376000,8293.0139,144913417.157,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
62,84,Sm,4.9808, ,2.145870966272256e15,8293.8581,145913046.835,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
62,85,Sm,4.9892,15.00,3.3860581570737213e18,8280.5734,146914904.401,9-Mar-2022,N. Nica and B. Singh,2022-04-26
62,86,Sm,5.0042,11.25,2.20898481822144e23,8279.6326,147914829.233,1-Oct-2013,N. NICA,2022-04-26
62,87,Sm,5.0134,13.82, ,8263.4683,148917191.211,20-Apr-2004,BALRAJ SINGH,2022-04-26
62,88,Sm,5.0387,7.37, ,8261.6235,149917281.993,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
62,89,Sm,5.0550, ,2840123337.71328,8243.9735,150919938.859,20-Nov-2008,BALRAJ SINGH,2022-04-26
62,90,Sm,5.0819,26.74, ,8244.0645,151919738.646,31-Aug-2013,M. J. MARTIN,2022-04-26
62,91,Sm,5.0925, ,166622.4,8228.5373,152922103.576,16-Aug-2020,N. NICA,2022-04-26
62,92,Sm,5.1053,22.74, ,8226.8379,153922215.756,1-May-2008,C. W. Reich,2022-04-26
62,93,Sm, , ,1330.8,8211.2258,154924646.645,21-Oct-2019,N. NICA,2022-04-26
62,94,Sm, , ,33840,8205.0054,155925538.191,1-Mar-2012,C. W. REICH,2022-04-26
62,95,Sm, , ,481.8,8187.0642,156928418.598,4-Dec-2015,N. NICA,2022-04-26
62,96,Sm, , ,318,8177.3075,157929949.262,1-Feb-2017,N. NICA,2022-04-26
62,97,Sm, , ,11.37,8157.4963,158933217.13,31-Dec-2010,C. W. Reich,2022-04-26
62,98,Sm, , ,9.6,8144.6159,159935337.032,1-May-2021,N. NICA,2022-04-26
62,99,Sm, , ,4.8,8122.0418,160939160.062,1-Jun-2011,C. W. Reich,2022-04-26
62,100,Sm, , ,2.4,8107.5745,161941621.687,1-Mar-2007,C. W. Reich,2022-04-26
62,101,Sm, , ,1.23,8084.1653,162945679.085,20-Feb-2017,FILIP G KONDEV,2022-04-26
62,102,Sm, , ,1.43,8067.7803,163948550.061,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
62,103,Sm, , ,0.98,8041,164953290,20-Feb-2017,FILIP G KONDEV,2022-04-26
62,104,Sm, , ,0.8,8023,165956575,20-Feb-2017,FILIP G KONDEV,2022-04-26
62,105,Sm, , , ,7992,166962072,31-JAN-2021,BALRAJ SINGH,2022-04-26
62,106,Sm, , , ,7971,167966033,31-JAN-2021,BALRAJ SINGH,2022-04-26
63,67,Eu, , ,0.0009,7950,129964022,31-MAY-2008,BALRAJ SINGH,2022-04-26
63,68,Eu, , ,0.0178,7996,130957634,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2022-04-26
63,69,Eu, , , ,8018,131954696,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2022-04-26
63,71,Eu, , ,0.5,8075,133946537,31-Jul-2004,A.A. Sonzogni,2022-04-26
63,72,Eu, , ,1.5,8107,134941870,31-DEC-2016,BALRAJ SINGH,2022-04-26
63,73,Eu, , ,3.3,8122,135939620,1-Apr-2018,E.A. MCCUTCHAN,2022-04-26
63,74,Eu,4.9762, ,11,8150.5738,136935430.719,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-04-26
63,75,Eu,4.9779, ,12.1,8161.6211,137933709,30-Sep-2017,JUN CHEN,2022-04-26
63,76,Eu,4.9760, ,17.9,8187.2187,138929792.307,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2022-04-26
63,77,Eu,4.9695, ,1.51,8197.733,139928087.633,20-Nov-2018,N. NICA,2022-04-26
63,78,Eu,4.9697, ,40.7,8217.6853,140924931.734,1-Jan-2012,N. NICA,2022-04-26
63,79,Eu,4.9607, ,2.34,8226.396,141923446.719,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
63,80,Eu,4.9636, ,155.4,8245.8177,142920298.678,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
63,81,Eu,4.9612, ,10.2,8254.1744,143918819.481,1-Dec-2000,A.A. Sonzogni,2022-04-26
63,82,Eu,4.9663, ,512352,8269.2744,144916272.659,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
63,83,Eu,4.9789, ,398304,8261.9327,145917210.852,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
63,84,Eu,4.9938, ,2082240,8263.5409,146916752.44,9-Mar-2022,N. Nica and B. Singh,2022-04-26
63,85,Eu,5.0045, ,4708800,8253.8155,147918091.288,1-Oct-2013,N. NICA,2022-04-26
63,86,Eu,5.0202, ,8043840,8253.556,148917936.875,20-Apr-2004,BALRAJ SINGH,2022-04-26
63,87,Eu,5.0296, ,1164450568.4624448,8241.3481,149919707.092,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
63,88,Eu,5.0522,47.81,5.36467741568064e25,8239.2998,150919856.606,20-Nov-2008,BALRAJ SINGH,2022-04-26
63,89,Eu,5.1064, ,426554968.39856005,8226.5854,151921750.98,31-Aug-2013,M. J. MARTIN,2022-04-26
63,90,Eu,5.1115,52.19, ,8228.7011,152921236.789,16-Aug-2020,N. NICA,2022-04-26
63,91,Eu,5.1239, ,271421120.3074658,8217.1006,153922985.699,1-May-2008,C. W. Reich,2022-04-26
63,92,Eu,5.1221, ,149990069.15723577,8216.676,154922899.847,21-Oct-2019,N. NICA,2022-04-26
63,93,Eu,5.1264, ,1312416,8204.6192,155924762.976,1-Mar-2012,C. W. REICH,2022-04-26
63,94,Eu,5.1351, ,54648,8199.7975,156925432.556,4-Dec-2015,N. NICA,2022-04-26
63,95,Eu,5.1413, ,2754,8185.132,157927782.192,1-Feb-2017,N. NICA,2022-04-26
63,96,Eu,5.1498, ,1086,8176.6987,158929099.512,31-Dec-2010,C. W. Reich,2022-04-26
63,97,Eu, , ,42.6,8160.103,159931836.982,1-May-2021,N. NICA,2022-04-26
63,98,Eu, , ,26,8148.981,160933663.991,1-Jun-2011,C. W. Reich,2022-04-26
63,99,Eu, , ,10.6,8129.5593,161936958.329,1-Mar-2007,C. W. Reich,2022-04-26
63,100,Eu, , ,7.7,8116.0172,162939265.51,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2022-04-26
63,101,Eu, , ,4.15,8095.3686,163942852.943,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
63,102,Eu, , ,2.3,8080.0529,164945540.07,31-AUG-2008,BALRAJ SINGH,2022-04-26
63,103,Eu, , ,1.7,8056,165949813,23-DEC-2014,BALRAJ SINGH,2022-04-26
63,104,Eu, , ,1.3,8038,166953011,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
63,105,Eu, , ,0.2,8012,167957863,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
63,106,Eu, , , ,7991,168961717,31-JAN-2021,BALRAJ SINGH,2022-04-26
64,70,Gd, , , ,8008,133955416,31-Jul-2004,A.A. Sonzogni,2022-04-26
64,71,Gd, , ,1.1,8028,134952496,31-DEC-2016,BALRAJ SINGH,2022-04-26
64,72,Gd, , ,0.0000002,8064,135947300,1-Apr-2018,E.A. MCCUTCHAN,2022-04-26
64,73,Gd, , ,2.2,8080,136945020,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-04-26
64,74,Gd, , ,4.7,8112,137940247,30-Sep-2017,JUN CHEN,2022-04-26
64,75,Gd, , ,5.8,8126,138938130,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2022-04-26
64,76,Gd, , ,15.8,8154.9757,139933674,20-Nov-2018,N. NICA,2022-04-26
64,77,Gd, , ,14,8164.609,140932126,1-Jan-2012,N. NICA,2022-04-26
64,78,Gd, , ,70.2,8190.2569,141928116,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
64,79,Gd, , ,39,8198.3188,142926750.678,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
64,80,Gd, , ,268.2,8221.9382,143922963,1-Dec-2000,A.A. Sonzogni,2022-04-26
64,81,Gd,4.9786, ,1380,8228.9485,144921710.051,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
64,82,Gd,4.9801, ,4170528,8249.5072,145918318.513,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
64,83,Gd, , ,137016,8243.3366,146919101.014,9-Mar-2022,N. Nica and B. Singh,2022-04-26
64,84,Gd,5.0080, ,2243697436.7934914,8248.3398,147918121.414,1-Oct-2013,N. NICA,2022-04-26
64,85,Gd, , ,801792,8239.4856,148919347.666,20-Apr-2004,BALRAJ SINGH,2022-04-26
64,86,Gd,5.0342, ,56486897494519.68,8242.6103,149918663.949,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
64,87,Gd, , ,10704960,8231.0446,150920354.922,20-Nov-2008,BALRAJ SINGH,2022-04-26
64,88,Gd,5.0774,0.20,3.408148005255936e21,8233.4042,151919798.414,31-Aug-2013,M. J. MARTIN,2022-04-26
64,89,Gd, , ,20770560,8220.4209,152921756.945,16-Aug-2020,N. NICA,2022-04-26
64,90,Gd,5.1223,2.18, ,8224.7996,153920872.974,1-May-2008,C. W. Reich,2022-04-26
64,91,Gd,5.1319,14.80, ,8213.2541,154922629.356,21-Oct-2019,N. NICA,2022-04-26
64,92,Gd,5.1420,20.47, ,8215.3253,155922130.12,1-Mar-2012,C. W. REICH,2022-04-26
64,93,Gd,5.1449,15.65, ,8203.5072,156923967.424,4-Dec-2015,N. NICA,2022-04-26
64,94,Gd,5.1569,24.84, ,8201.8229,157924111.2,1-Feb-2017,N. NICA,2022-04-26
64,95,Gd, , ,66524.4,8187.6177,158926395.822,31-Dec-2010,C. W. Reich,2022-04-26
64,96,Gd,5.1734,21.86, ,8183.0171,159927061.202,1-May-2021,N. NICA,2022-04-26
64,97,Gd, , ,219.6,8167.1934,160929676.267,1-Jun-2011,C. W. Reich,2022-04-26
64,98,Gd, , ,504,8159.0373,161930991.812,1-Mar-2007,C. W. Reich,2022-04-26
64,99,Gd, , ,68,8140.756,162934096.64,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2022-04-26
64,100,Gd, , ,45,8129.9978,163935916.193,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
64,101,Gd, , ,10.3,8110.4428,164939317.08,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2022-04-26
64,102,Gd, , ,4.8,8097.226,165941630.413,25-JAN-2015,BALRAJ SINGH,2022-04-26
64,103,Gd, , ,4.26,8075.5428,166945490.012,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
64,104,Gd, , ,3.03,8060,167948309,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
64,105,Gd, , ,0.75,8035,168952882,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
64,106,Gd, , ,0.41,8017,169956146,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2022-04-26
64,107,Gd, , , ,7990,170961127,31-JAN-2021,BALRAJ SINGH,2022-04-26
64,108,Gd, , , ,7972,171964605,31-JAN-2021,BALRAJ SINGH,2022-04-26
65,70,Tb, , ,0.00094,7939,134964516,31-DEC-2016,BALRAJ SINGH,2022-04-26
65,73,Tb, , ,0.0000002,8019,137953193,30-Sep-2017,JUN CHEN,2022-04-26
65,74,Tb, , ,1.6,8052,138948330,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2022-04-26
65,75,Tb, , ,2.29,8068.6732,139945805.048,20-Nov-2018,N. NICA,2022-04-26
65,76,Tb, , ,3.5,8097.4761,140941448,1-Jan-2012,N. NICA,2022-04-26
65,77,Tb, , ,0.597,8111.508,141939280.858,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
65,78,Tb, , ,12,8138.2176,142935137.332,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
65,79,Tb, , ,1,8151.2877,143933045,1-Dec-2000,A.A. Sonzogni,2022-04-26
65,80,Tb, , , ,8178.5397,144928717.001,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
65,81,Tb, , ,8,8187.1474,145927252.739,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
65,82,Tb,4.9201, ,5904,8206.625,146924054.62,9-Mar-2022,N. Nica and B. Singh,2022-04-26
65,83,Tb,4.9291, ,3600,8204.3207,147924275.476,1-Oct-2013,N. NICA,2022-04-26
65,84,Tb,4.9427, ,14824.8,8209.8153,148923253.792,20-Apr-2004,BALRAJ SINGH,2022-04-26
65,85,Tb,4.9499, ,12528,8206.3396,149923664.799,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
65,86,Tb,4.9630, ,63392.4,8208.8743,150923108.97,20-Nov-2008,BALRAJ SINGH,2022-04-26
65,87,Tb,4.9689, ,63000,8202.0072,151924081.855,31-Aug-2013,M. J. MARTIN,2022-04-26
65,88,Tb,4.9950, ,202176,8205.0504,152923441.694,16-Aug-2020,N. NICA,2022-04-26
65,89,Tb,5.0333, ,77400,8196.6697,153924683.681,1-May-2008,C. W. Reich,2022-04-26
65,90,Tb,5.0391, ,459648,8202.9173,154923509.511,21-Oct-2019,N. NICA,2022-04-26
65,91,Tb, , ,462240,8194.6415,155924754.209,1-Mar-2012,C. W. REICH,2022-04-26
65,92,Tb,5.0489, ,2240541744.196032,8198.1416,156924031.888,4-Dec-2015,N. NICA,2022-04-26
65,93,Tb, , ,5680246675.42656,8189.1556,157925419.942,1-Feb-2017,N. NICA,2022-04-26
65,94,Tb,5.0600,100, ,8188.8025,158925353.707,31-Dec-2010,C. W. Reich,2022-04-26
65,95,Tb, , ,6246720,8177.4676,159927174.553,1-May-2021,N. NICA,2022-04-26
65,96,Tb, , ,595296,8174.4809,160927576.806,1-Jun-2011,C. W. Reich,2022-04-26
65,97,Tb, , ,456,8164.0773,161929275.4,28-FEB-2016,BALRAJ SINGH,2022-04-26
65,98,Tb, , ,1170,8155.6322,162930653.609,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2022-04-26
65,99,Tb, , ,180,8139.9304,163933327.561,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
65,100,Tb, , ,126.6,8130.3259,164934955.198,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2022-04-26
65,101,Tb, , ,25.1,8113.223,165937939.727,1-Mar-2008,CORAL M. BAGLIN,2022-04-26
65,102,Tb, , ,19.4,8101.441,166940007.046,5-Jul-2000,Coral M. Baglin,2022-04-26
65,103,Tb, , ,8.2,8082.798,167943337.074,15-Jun-2010,CORAL M. BAGLIN,2022-04-26
65,104,Tb, , ,5.1,8069,168945807,20-Feb-2017,FILIP G KONDEV,2022-04-26
65,105,Tb, , ,0.96,8047,169949855,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2022-04-26
65,106,Tb, , ,1.24,8030,170953011,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2022-04-26
65,107,Tb, , ,0.76,8006,171957391,20-Feb-2017,FILIP G KONDEV,2022-04-26
65,108,Tb, , , ,7988,172960805,31-JAN-2021,BALRAJ SINGH,2022-04-26
65,109,Tb, , , ,7963,173965679,31-JAN-2021,BALRAJ SINGH,2022-04-26
66,73,Dy, , ,0.6,7971,138959527,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2022-04-26
66,74,Dy, , , ,8008,139954020,20-Nov-2018,N. NICA,2022-04-26
66,75,Dy, , ,0.9,8027,140951280,1-Jan-2012,N. NICA,2022-04-26
66,76,Dy, , ,2.3,8061,141946194,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
66,77,Dy, , ,5.6,8075.0527,142943994.332,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
66,78,Dy, , ,9.1,8105.5902,143939269.512,1-Dec-2000,A.A. Sonzogni,2022-04-26
66,79,Dy, , ,6,8116.8884,144937473.992,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
66,80,Dy,5.0438, ,33.2,8146.1128,145932844.526,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
66,81,Dy, , ,67,8156.768,146931082.712,9-Mar-2022,N. Nica and B. Singh,2022-04-26
66,82,Dy,5.0455, ,198,8180.943,147927149.944,1-Oct-2013,N. NICA,2022-04-26
66,83,Dy,5.0567, ,252,8179.0972,148927327.516,20-Apr-2004,BALRAJ SINGH,2022-04-26
66,84,Dy,5.0706, ,430.2,8189.1495,149925593.068,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
66,85,Dy,5.0801, ,1074,8184.6789,150926191.279,20-Nov-2008,BALRAJ SINGH,2022-04-26
66,86,Dy,5.0950, ,8568,8192.9171,151924725.274,31-Aug-2013,M. J. MARTIN,2022-04-26
66,87,Dy,5.1035, ,23040,8185.7514,152925771.729,16-Aug-2020,N. NICA,2022-04-26
66,88,Dy,5.1241, ,94670777923776,8193.1305,153924428.92,1-May-2008,C. W. Reich,2022-04-26
66,89,Dy,5.1457, ,35640,8184.357,154925758.049,21-Oct-2019,N. NICA,2022-04-26
66,90,Dy,5.1622,0.056, ,8192.4366,155924283.593,1-Mar-2012,C. W. REICH,2022-04-26
66,91,Dy,5.1709, ,29304,8184.6287,156925469.555,4-Dec-2015,N. NICA,2022-04-26
66,92,Dy,5.1815,0.095, ,8190.1298,157924414.817,1-Feb-2017,N. NICA,2022-04-26
66,93,Dy,5.1825, ,12476160,8181.5842,158925745.938,31-Dec-2010,C. W. Reich,2022-04-26
66,94,Dy,5.1951,2.329, ,8184.0526,159925203.578,1-May-2021,N. NICA,2022-04-26
66,95,Dy,5.1962,18.889, ,8173.3093,160926939.425,1-Jun-2011,C. W. Reich,2022-04-26
66,96,Dy,5.2074,25.475, ,8173.4555,161926804.507,1-Mar-2007,C. W. Reich,2022-04-26
66,97,Dy,5.2099,24.896, ,8161.784,162928737.221,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2022-04-26
66,98,Dy,5.2218,28.260, ,8158.7129,163929180.819,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
66,99,Dy, , ,8395.2,8143.9083,164931709.402,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2022-04-26
66,100,Dy, , ,293760,8137.2793,165932812.81,1-Mar-2008,CORAL M. BAGLIN,2022-04-26
66,101,Dy, , ,372,8120.8782,166935682.415,5-Jul-2000,Coral M. Baglin,2022-04-26
66,102,Dy, , ,522,8112.5293,167937134.977,15-Jun-2010,CORAL M. BAGLIN,2022-04-26
66,103,Dy, , ,39,8094.7566,168940315.231,15-Jun-2008,CORAL M. BAGLIN,2022-04-26
66,104,Dy, , ,55,8084,169942340,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2022-04-26
66,105,Dy, , ,4.1,8062,170946312,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2022-04-26
66,106,Dy, , ,0.00000016,8049,171948728,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
66,107,Dy, , ,1.43,8026,172953043,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
66,108,Dy, , ,0.00000016,8011,173955845,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
66,109,Dy, , , ,7986,174960569,31-JAN-2021,BALRAJ SINGH,2022-04-26
66,110,Dy, , , ,7969,175963918,31-JAN-2021,BALRAJ SINGH,2022-04-26
67,73,Ho, , ,0.006,7906,139968526,20-Nov-2018,N. NICA,2022-04-26
67,74,Ho, , ,0.0041,7943,140963108,1-Jan-2012,N. NICA,2022-04-26
67,75,Ho, , ,0.4,7965,141960010,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2022-04-26
67,76,Ho, , , ,7999,142954860,31-May-2011,E. BROWNE and  J. K. TULI,2022-04-26
67,77,Ho, , ,0.7,8017.0977,143952109.712,21-FEB-2008,BALRAJ SINGH,2022-04-26
67,78,Ho, , ,2.4,8048.5792,144947267.392,1-Oct-2008,E. BROWNE and  J. K. TULI,2022-04-26
67,79,Ho, , ,3.32,8063.2426,145944993.503,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2022-04-26
67,80,Ho, , ,5.8,8094.0381,146940142.293,9-Mar-2022,N. Nica and B. Singh,2022-04-26
67,81,Ho, , ,2.2,8108.9797,147937743.925,1-Oct-2013,N. NICA,2022-04-26
67,82,Ho, , ,21.1,8133.255,148933820.457,20-Apr-2004,BALRAJ SINGH,2022-04-26
67,83,Ho, , ,72,8134.8423,149933498.353,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-04-26
67,84,Ho,5.0398, ,35.2,8145.5267,150931698.176,20-Nov-2008,BALRAJ SINGH,2022-04-26
67,85,Ho,5.0614, ,161.8,8144.9193,151931717.618,31-Aug-2013,M. J. MARTIN,2022-04-26
67,86,Ho,5.0760, ,120.6,8153.6372,152930206.671,16-Aug-2020,N. NICA,2022-04-26
67,87,Ho,5.0856, ,705.6,8150.6825,153930606.776,1-May-2008,C. W. Reich,2022-04-26
67,88,Ho,5.1076, ,2880,8159.2055,154929103.363,21-Oct-2019,N. NICA,2022-04-26
67,89,Ho,5.1156, ,3360,8155.428,155929641.634,1-Mar-2012,C. W. REICH,2022-04-26
67,90,Ho,5.1535, ,756,8163.1373,156928251.974,4-Dec-2015,N. NICA,2022-04-26
67,91,Ho,5.1571, ,678,8158.4709,157928944.91,1-Feb-2017,N. NICA,2022-04-26
67,92,Ho,5.1675, ,1983,8165.1066,158927718.683,31-Dec-2010,C. W. Reich,2022-04-26
67,93,Ho,5.1662, ,1536,8158.6004,159928735.538,1-May-2021,N. NICA,2022-04-26
67,94,Ho,5.1785, ,8928,8163.1134,160927861.815,1-Jun-2011,C. W. Reich,2022-04-26
67,95,Ho,5.1817, ,900,8155.4126,161929102.543,1-Mar-2007,C. W. Reich,2022-04-26
67,96,Ho,5.1907, ,144215151703.88544,8156.967,162928740.26,12-Apr-2010,C. W. REICH and  BALRAJ SINGH,2022-04-26
67,97,Ho, , ,1728,8147.9234,163930240.548,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
67,98,Ho,5.2022,100, ,8146.9591,164930329.116,15-Apr-2006,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,2022-04-26
67,99,Ho, , ,96566.4,8135.4933,165932291.209,1-Mar-2008,CORAL M. BAGLIN,2022-04-26
67,100,Ho, , ,11160,8130.3732,166933140.254,5-Jul-2000,Coral M. Baglin,2022-04-26
67,101,Ho, , ,179.4,8116.8061,167935523.766,15-Jun-2010,CORAL M. BAGLIN,2022-04-26
67,102,Ho, , ,283.2,8109.0622,168936879.89,15-Jun-2008,CORAL M. BAGLIN,2022-04-26
67,103,Ho, , ,165.6,8093.7902,169939626.548,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2022-04-26
67,104,Ho, , ,53,8083.6021,170941472.713,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2022-04-26
67,105,Ho, , ,25,8066,171944730,08-DEC-2015,BALRAJ SINGH,2022-04-26
67,106,Ho, , ,6.9,8054,172947020,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
67,107,Ho, , ,3.2,8034,173950757,30-SEP-2013,BALRAJ SINGH AND MICHAEL BIRCH,2022-04-26
